Rank,Accession_ID,Organism,Description,Alignment_length,Percent_identity,Gaps_number,Score,Bit_score,E_value
1,9606_0:0048f7,Homo sapiens,18S rRNA aminocarboxypropyltransferase,312,100,0,1519,647,0
2,9544_0:004ef9,Macaca mulatta,ribosome biogenesis protein TSR3 homolog,312,95.192,0,1456,620,0
3,9509_0:0037a9,Ateles geoffroyi,NA,312,91.667,0,1401,597,0
4,61622_0:004d9a,Rhinopithecus roxellana,18S rRNA aminocarboxypropyltransferase,312,95.513,0,1387,591,0
5,9483_0:003924,Callithrix jacchus,18S rRNA aminocarboxypropyltransferase,312,90.705,0,1386,591,0
6,37293_0:0042b5,Aotus nancymaae,18S rRNA aminocarboxypropyltransferase,312,91.667,0,1369,583,0
7,9601_0:004059,Pongo abelii,18S rRNA aminocarboxypropyltransferase,312,94.551,0,1362,580,0
8,31869_0:003945,Daubentonia madagascariensis,NA,314,85.35,5,1309,558,5.92e-178
9,61853_0:0039b7,Nomascus leucogenys,ribosome biogenesis protein TSR3 homolog,281,95.018,0,1306,557,3.23e-177
10,30611_0:0020e4,Otolemur garnettii,ribosome biogenesis protein TSR3 homolog,312,82.372,0,1282,546,6.46e-172
11,1868482_0:0042cb,Carlito syrichta,18S rRNA aminocarboxypropyltransferase,312,85.256,0,1255,535,1.82e-169
12,89462_0:00506e,Bubalus bubalis,18S rRNA aminocarboxypropyltransferase,315,83.175,3,1247,532,5.48e-168
13,9447_0:000d36,Lemur catta,18S rRNA aminocarboxypropyltransferase,312,83.333,3,1245,531,7.92e-168
14,9796_0:003007,Equus caballus,18S rRNA aminocarboxypropyltransferase,317,80.442,6,1245,531,1.15e-167
15,29073_0:0022b5,Ursus maritimus,18S rRNA aminocarboxypropyltransferase,317,83.281,5,1245,531,1.24e-167
16,84702_0:004e66,Cervus hanglu yarkandensis,NA,315,83.81,3,1244,530,1.47e-167
17,9823_0:001194,Sus scrofa,18S rRNA aminocarboxypropyltransferase,316,81.646,4,1243,530,2.27e-167
18,30608_0:00388e,Microcebus murinus,18S rRNA aminocarboxypropyltransferase,314,83.758,5,1241,529,3.35e-167
19,9460_0:003b9e,Cheirogaleus medius,NA,312,83.654,3,1236,527,1.67e-166
20,9713_0:00269d,Leptonychotes weddellii,18S rRNA aminocarboxypropyltransferase,316,83.861,4,1237,527,2.07e-166
21,43179_0:00484b,Ictidomys tridecemlineatus,18S rRNA aminocarboxypropyltransferase,312,80.128,4,1230,524,1.36e-165
22,9925_0:004254,Capra hircus,18S rRNA aminocarboxypropyltransferase,313,81.789,1,1227,523,5.23e-165
23,9940_0:004b05,Ovis aries,18S rRNA aminocarboxypropyltransferase isoform X1,312,81.41,0,1224,522,1.64e-164
24,51338_0:0023ba,Castor canadensis,18S rRNA aminocarboxypropyltransferase,312,82.692,2,1221,521,4.02e-164
25,9913_0:0047a3,Bos taurus,18S rRNA aminocarboxypropyltransferase,315,83.175,3,1215,518,5.19e-163
26,9704_0:0031c0,Zalophus californianus,18S rRNA aminocarboxypropyltransferase,331,80.06,19,1215,518,1.99e-162
27,55149_0:00528b,Sciurus vulgaris,18S rRNA aminocarboxypropyltransferase,314,81.529,6,1208,515,5e-162
28,9755_0:00297d,Physeter catodon,18S rRNA aminocarboxypropyltransferase,316,80.696,11,1203,513,2.76e-161
29,391180_0:003374,Enhydra lutris kenyoni,18S rRNA aminocarboxypropyltransferase,317,80.757,5,1200,512,1.44e-160
30,9685_0:0048be,Felis catus,18S rRNA aminocarboxypropyltransferase isoform X1,315,81.905,4,1195,510,5.68e-160
